Kmax,Ku,n,halfmax,Vhalf,slope
1226000,0.0008219,0.9814,187200000,-185.3,0.006549
299600,0.0007421,1.286,220100000,-105.3,0.001361
1047000,0.0009658,1.299,902400000,-105,0.00116
2122000,0.0009309,1.14,676300000,-175.9,0.003138
1959000,0.002247,1.222,983400000,-190.1,0.001992
476800,0.00164,1.081,110300000,-160.9,0.004323
1992000,0.0009432,1.201,946600000,-156.7,0.002104
1021000,0.0008296,1.07,250800000,-93.22,0.004071
1496000,0.0007394,0.9846,221800000,-110.6,0.006745
6070000,0.0007652,0.9534,6.23e+08,-109.9,0.009743
712600,0.0008038,1.209,3.37e+08,-153.5,0.002115
3656000,0.0008085,0.832,233200000,-90.44,0.01568
1706000,0.001355,1.046,302900000,-171.4,0.005632
1977000,0.001007,1.005,320400000,-163.9,0.00617
3471000,0.0009645,1.113,959500000,-95.8,0.003618
495200,0.0007698,1.141,165300000,-97.97,0.002996
2281000,0.0008887,0.921,227900000,-185.6,0.01001
2180000,0.0007011,1.069,462800000,-110,0.00471
93740,0.0007839,0.9157,9031000,-162.2,0.01038
1513000,0.0008011,0.9899,220700000,-82.22,0.006855
453300,0.0009356,1.084,1.24e+08,-154,0.003656
2437000,0.0007444,0.9647,296400000,-98.91,0.008222
1474000,0.000792,1.023,255200000,-97.78,0.005776
1990000,0.00178,1.175,890200000,-183.7,0.002235
31.91,0.0008578,1.064,7955,-154,0.004011
331800,0.0008952,1.085,82520000,-184.7,0.004021
3926000,0.0008152,1.07,8.58e+08,-173.4,0.004576
728900,0.000753,1.095,220500000,-95.28,0.003306
4405000,0.0009503,1.012,778700000,-180.4,0.005657
4988000,0.0006809,0.8766,378400000,-91.61,0.01318
1629000,0.001002,0.8865,130300000,-100.6,0.0125
849400,0.0007307,1.056,160600000,-101.6,0.005289
1209000,0.0007668,1.007,1.82e+08,-102,0.006643
1126000,0.0008027,1.191,427800000,-157.6,0.002632
1175000,0.0009936,1.145,394500000,-94.02,0.002978
586300,0.0008363,0.8838,43010000,-94.6,0.01363
4635000,0.000886,0.9767,629100000,-176.6,0.007368
1539000,0.0008271,1.005,251900000,-96.11,0.00611
1869000,0.001181,1.201,803600000,-186.1,0.002326
1411000,0.0007521,0.863,103500000,-89.66,0.01363
2711000,0.0008395,0.9078,235800000,-186.3,0.0115
8167000,0.0006485,0.9131,778800000,-90.82,0.01049
3896000,0.0008698,0.8452,2.41e+08,-171.7,0.01617
940300,0.003036,1.306,894300000,-168.8,0.001051
