Kmax,Ku,n,halfmax,Vhalf,slope
13.93,0.07221,1.274,2685000,-87,5.188e-06
24.89,0.05376,0.9765,253900,-92.39,9.803e-05
19.39,0.4762,1.078,574200,-77.64,3.377e-05
20.1,0.2609,1.112,844200,-80.91,2.381e-05
12.77,0.08188,1.147,726400,-86.98,1.758e-05
13.3,0.04359,1.197,1022000,-104.5,1.301e-05
15.68,0.05448,1.181,1129000,-95.15,1.389e-05
15.47,0.06666,1.214,1644000,-86.27,9.41e-06
14.33,0.07123,1.207,1333000,-88.55,1.075e-05
36.44,0.2519,1.027,660000,-81.68,5.521e-05
35,0.9586,1.032,721400,-79.59,4.852e-05
11.03,0.1321,1.156,630700,-81.73,1.749e-05
12.1,0.04524,1.202,974300,-94.2,1.242e-05
14.74,0.06752,1.243,2098000,-84.92,7.026e-06
15.94,0.05156,1.096,485300,-156.7,3.285e-05
11.29,0.08394,1.184,824900,-82.55,1.369e-05
12.02,0.04991,1.251,1458000,-161.1,8.244e-06
9.663,0.05103,1.264,1402000,-168.8,6.892e-06
14.71,0.03639,1.278,2490000,-105.1,5.908e-06
14.91,0.0486,1.243,1846000,-88.08,8.077e-06
16.68,0.1009,1.048,331600,-86.94,5.03e-05
22.98,0.06515,1.078,697200,-84.64,3.296e-05
12.07,0.06867,1.122,476600,-95.89,2.533e-05
11.25,0.04835,1.266,1684000,-95.61,6.681e-06
16.18,0.0664,1.247,2061000,-88.15,7.851e-06
14.23,0.109,1.248,1972000,-83.59,7.216e-06
10.18,0.06263,1.276,1717000,-91.28,5.929e-06
11.73,0.04254,1.247,1652000,-99.42,7.1e-06
18.67,0.04804,1.131,782500,-153.1,2.386e-05
10.6,0.06485,1.246,1342000,-91.56,7.899e-06
16.62,0.0646,1.195,1336000,-87.49,1.244e-05
14.07,0.04364,1.234,1608000,-85.58,8.75e-06
19.45,0.1028,1.11,779100,-78.75,2.496e-05
14.58,0.142,1.249,2037000,-83.38,7.158e-06
15.12,0.2178,1.154,1008000,-80.95,1.5e-05
14.29,0.05563,1.137,642500,-88.44,2.224e-05
19.87,0.06221,1.137,941400,-86.38,2.111e-05
11.59,0.03962,1.244,1372000,-98.37,8.448e-06
13.4,0.04054,1.218,1424000,-165.7,9.41e-06
11.38,0.04733,1.294,2277000,-162.5,4.998e-06
10.13,0.05306,1.229,1025000,-91,9.883e-06
16.93,0.04994,1.183,1369000,-133.9,1.237e-05
15.64,0.09016,1.194,1254000,-81.02,1.247e-05
17.59,0.8849,1.012,266900,-79.79,6.59e-05
16.15,0.05511,1.166,910100,-89.38,1.775e-05
17.6,0.9922,1.048,412000,-75.53,4.272e-05
25.22,0.05483,1.072,827600,-92.4,3.047e-05
11.55,0.04687,1.234,1187000,-136.4,9.73e-06
14.03,0.0482,1.114,465900,-156.1,3.011e-05
10.97,0.1007,1.134,474800,-83.24,2.31e-05
13.6,0.05514,1.371,6114000,-95.58,2.224e-06
22.52,0.09393,1.04,427400,-81.75,5.269e-05
12.9,0.3289,1.135,551400,-78.25,2.339e-05
17.43,1,1.147,985900,-79.94,1.768e-05
11.58,0.08481,1.225,1117000,-89.34,1.037e-05
18.01,0.09017,1.1,594100,-84.6,3.031e-05
13.83,0.1054,1.194,1081000,-82.15,1.279e-05
11.41,0.04283,1.253,1538000,-96.07,7.419e-06
14.99,0.0486,1.222,1513000,-88.39,9.907e-06
20.92,0.03574,1.198,1765000,-88.08,1.185e-05
15.24,0.3376,1.129,667700,-79.19,2.282e-05
11,0.0642,1.342,3176000,-89.18,3.463e-06
16.51,0.05445,1.137,731500,-119.6,2.257e-05
28.42,0.9927,0.9741,314700,-77.79,9.031e-05
14.51,0.07823,1.226,1802000,-85.55,8.052e-06
15.26,0.08244,1.156,818500,-86.23,1.864e-05
16.8,0.04535,1.132,703000,-87.22,2.39e-05
14.02,0.08113,1.088,417400,-84.47,3.359e-05
18.26,0.08695,1.075,474300,-97.5,3.85e-05
12.02,0.04612,1.185,840700,-93.75,1.43e-05
21.36,0.07916,0.9965,244300,-93.04,8.743e-05
17.48,0.08307,1.184,1416000,-80.84,1.234e-05
15.29,0.06304,1.183,1205000,-88.71,1.269e-05
17.5,0.139,1.131,881300,-88.07,1.986e-05
25.01,0.06368,1.019,414900,-81.58,6.028e-05
16.31,0.0723,1.204,1413000,-87.42,1.154e-05
18.06,0.1414,1.16,1089000,-83.34,1.658e-05
23.43,0.2751,1.03,466700,-81.2,5.02e-05
24.37,1,1.06,680000,-76.94,3.584e-05
15.85,0.0466,1.087,421200,-165.4,3.763e-05
12.35,0.121,1.244,1609000,-83.62,7.676e-06
15.1,0.0554,1.202,1237000,-89.38,1.221e-05
16.36,0.06088,1.125,671100,-89.94,2.438e-05
16.88,0.07947,1.194,1371000,-84.88,1.231e-05
14.2,0.1786,1.009,202700,-79.96,7.005e-05
20.9,0.08459,1.11,847300,-86.13,2.467e-05
10.09,0.07425,1.322,2612000,-85.69,3.863e-06
13.16,0.0882,1.118,484600,-83.61,2.716e-05
14.39,0.05124,1.199,1224000,-163.4,1.176e-05
24.23,0.03534,1.013,367900,-91.86,6.586e-05
13.91,0.04789,1.248,1697000,-96.95,8.197e-06
19.24,0.1062,1.141,1082000,-84.23,1.778e-05
18.04,0.1658,1.198,1877000,-82.73,9.611e-06
16.12,0.1882,0.9439,136800,-81.46,0.0001178
37.25,0.1265,0.9615,366200,-83.86,0.0001017
14.9,0.1784,1.149,785100,-81.05,1.898e-05
13.79,0.05641,1.01,175100,-88.69,7.875e-05
161.5,0.04583,0.8524,627800,-110.3,0.0002572
15.36,0.07902,1.154,815200,-141.7,1.884e-05
14.41,0.07333,1.061,337000,-89.24,4.276e-05
13.2,0.8942,1.123,609500,-76.77,2.166e-05
16.81,0.06891,1.027,273700,-161.7,6.142e-05
12.92,0.04029,1.221,1281000,-156.2,1.009e-05
10.39,0.045,1.283,1748000,-166.4,5.944e-06
15.95,0.07406,1.118,756500,-87.54,2.108e-05
12.34,0.05214,1.167,676400,-94.12,1.824e-05
15.96,0.05375,1.207,1394000,-91.58,1.145e-05
12.96,0.03401,1.105,395600,-159.8,3.276e-05
10.74,0.05006,1.271,1586000,-154.5,6.772e-06
14.34,0.1616,1.1,448700,-81.4,3.196e-05
16.81,0.08069,1.155,933100,-85.23,1.802e-05
14.94,0.04486,1.043,276900,-94.82,5.395e-05
12.47,0.1001,1.254,1832000,-81.76,6.807e-06
14.41,0.0607,1.336,4932000,-88.68,2.922e-06
14.04,0.04402,1.052,292600,-173.1,4.798e-05
35.81,0.2785,0.9516,313200,-82.27,0.0001143
31.7,0.9242,1.094,1128000,-82.67,2.81e-05
10.83,0.05131,1.157,515500,-145.7,2.101e-05
16.68,0.06336,1.1,562200,-87.43,2.967e-05
13.53,0.08385,1.28,2761000,-84.31,4.9e-06
16.13,0.08349,1.097,579600,-85.05,2.783e-05
12.12,0.06687,1.296,2494000,-88.96,4.86e-06
12.77,0.04849,1.279,2280000,-89.21,5.601e-06
25.56,0.9296,1.046,630000,-80.36,4.057e-05
18.75,0.08735,0.9445,145000,-83.34,0.0001293
19.11,0.04617,1.076,518800,-92.91,3.684e-05
13.64,0.897,1.125,692900,-75.32,1.969e-05
12.88,0.05599,1.319,3534000,-90.96,3.645e-06
18.65,0.5995,1.018,305200,-80.02,6.111e-05
12.57,0.05274,1.235,1436000,-95.24,8.753e-06
17.08,0.4596,1.115,774900,-77.32,2.204e-05
22.36,0.1636,1.001,288400,-83.09,7.753e-05
20.52,0.05134,1.054,432500,-150,4.745e-05
15.03,0.0739,1.062,394800,-85.55,3.807e-05
11.97,0.03947,1.234,1284000,-102.4,9.322e-06
13.67,0.07306,1.264,2395000,-88.41,5.708e-06
13.49,0.1659,1.213,1603000,-80.58,8.415e-06
13.66,0.04227,1.225,1286000,-162.7,1.062e-05
11.65,0.04561,1.084,280700,-152.5,4.15e-05
15.09,0.1087,1.134,649300,-85.68,2.324e-05
18.77,0.1181,0.9716,195600,-80.43,9.596e-05
16.39,0.1903,1.18,1527000,-82.67,1.073e-05
14.97,0.062,1.157,825700,-90.21,1.813e-05
15.84,0.05116,1.128,639400,-93.79,2.477e-05
16.71,0.05402,0.9937,199400,-90.99,8.38e-05
15.33,0.4596,1.215,1958000,-78.2,7.829e-06
18.03,0.05268,1.142,887300,-83.2,2.032e-05
16.01,0.05804,1.151,862400,-91.93,1.856e-05
16.64,0.06825,1.146,936200,-91.66,1.777e-05
29.84,0.03971,0.9067,185100,-92.63,0.0001612
16.78,0.053,1.011,230300,-166.3,7.286e-05
14.31,0.1051,1.106,500900,-82.42,2.857e-05
10.25,0.05366,1.333,3189000,-177.8,3.214e-06
12.73,0.07372,1.28,2271000,-85.94,5.605e-06
14.56,0.05463,1.248,1805000,-90.5,8.066e-06
19.27,0.04389,1.04,382100,-167.3,5.043e-05
15.7,0.0541,1.143,749200,-89.21,2.096e-05
19.94,0.0502,1.051,392800,-145.3,5.076e-05
14.78,0.1077,1.256,2309000,-85.81,6.401e-06
12.99,0.05061,1.121,462500,-171.8,2.809e-05
17.84,0.03971,1.095,499500,-102.9,3.572e-05
12.58,0.1059,1.155,747200,-81.85,1.684e-05
16.88,0.625,1.155,1152000,-77.76,1.465e-05
17.54,0.1439,0.9098,99400,-80.47,0.0001765
17.55,0.05564,1.045,302900,-152.4,5.794e-05
13.74,0.0604,1.119,471100,-166.8,2.917e-05
15.14,0.05029,1.096,492400,-96.68,3.075e-05
18.3,0.04712,1.095,582600,-86.6,3.141e-05
16.35,0.09489,1.198,1494000,-82.73,1.094e-05
25.68,0.663,1.116,1161000,-84.47,2.212e-05
16.03,0.06762,1.22,1838000,-91.35,8.721e-06
16.01,0.05186,1.103,555600,-155.1,2.882e-05
20.1,0.05296,1.181,1407000,-160.2,1.429e-05
17.89,0.1264,1.074,456100,-84.2,3.922e-05
15.5,0.06518,1.094,470100,-91.82,3.297e-05
11.95,0.06063,1.241,1420000,-86.97,8.415e-06
19.39,0.2238,1.046,404600,-80.72,4.792e-05
17.35,0.1061,1.167,1029000,-87.96,1.686e-05
19.6,0.0633,1.051,414400,-88.24,4.73e-05
25.17,0.03771,0.9358,178100,-92,0.0001413
12.64,0.04592,1.19,909500,-151.6,1.39e-05
21.57,0.04179,0.9666,191900,-93.01,0.0001124
12.79,0.04242,1.292,2398000,-101.8,5.334e-06
14.77,0.05585,1.106,512400,-104.9,2.883e-05
14.89,0.06032,1.114,598500,-92.58,2.488e-05
16.02,0.0469,1.199,1432000,-151,1.119e-05
22,0.8563,0.9834,296200,-80.57,7.427e-05
15.77,0.05146,1.222,1648000,-97.96,9.569e-06
13.74,0.1214,1.157,775400,-83.47,1.772e-05
15.79,0.1064,1.091,493900,-82.58,3.197e-05
11.76,0.04288,1.134,446900,-92.64,2.631e-05
14.48,0.2475,1.174,952700,-82.29,1.52e-05
15.37,0.03795,1.23,1582000,-103.2,9.716e-06
15.49,0.06201,1.137,691000,-169.2,2.242e-05
16.52,0.07545,1.134,743700,-85.48,2.221e-05
16.89,0.1263,1.131,863700,-83.11,1.956e-05
18.63,0.1589,1.045,339800,-82.74,5.483e-05
21.63,0.0502,1.02,313700,-99.19,6.895e-05
14.99,0.07411,1.031,267400,-88.06,5.606e-05
23.31,0.9894,1.072,636000,-81.41,3.665e-05
18.44,0.06559,1.023,264300,-152.8,6.977e-05
61.4,0.168,0.9131,379000,-86.55,0.000162
13.95,0.05572,1.197,1083000,-94.76,1.288e-05
10.69,0.04799,1.132,462200,-93.31,2.313e-05
12.99,0.04005,1.333,4065000,-89.73,3.196e-06
13.73,0.05608,1.172,801800,-143.8,1.712e-05
16.15,0.9006,1.116,719100,-76.87,2.246e-05
11.07,0.1109,1.171,686700,-83.62,1.612e-05
15.35,0.05383,1.193,1200000,-152.1,1.279e-05
12.61,0.1126,1.11,620100,-80.38,2.034e-05
19.67,0.9805,1.169,1590000,-77.84,1.237e-05
16.09,0.09941,1.153,938400,-81.98,1.715e-05
9.519,0.04823,1.285,1706000,-90.19,5.58e-06
19.79,0.06217,1.137,922900,-95.15,2.144e-05
16.52,0.1264,1.111,658300,-84.92,2.509e-05
12.82,0.05755,1.051,246200,-165.1,5.207e-05
14.03,0.04034,1.194,1096000,-107.9,1.28e-05
14.26,0.05604,1.319,3737000,-90.91,3.816e-06
14.58,0.08235,1.031,257700,-86.86,5.658e-05
20.43,0.04632,1.213,1931000,-93.74,1.058e-05
11.9,0.06721,1.194,872700,-154.2,1.364e-05
14.79,0.05639,1.134,663000,-84.39,2.231e-05
13.89,0.06306,1.082,353700,-86.43,3.927e-05
13.74,0.05344,1.189,993200,-84.07,1.383e-05
13.83,0.09216,1.144,669600,-82.39,2.065e-05
16.52,0.224,1.139,864100,-81.77,1.912e-05
15.21,0.09153,1.078,401100,-90.58,3.792e-05
10.8,0.04406,1.284,1742000,-105.8,6.2e-06
12.43,0.1069,1.213,1356000,-84.15,9.167e-06
17.27,0.06614,1.079,471300,-85.94,3.664e-05
13.15,0.04956,1.181,874200,-146.5,1.504e-05
11.91,0.08961,1.114,435200,-83.19,2.737e-05
12.08,0.09814,1.097,368000,-82.93,3.283e-05
11.04,0.05657,1.357,4093000,-93.8,2.697e-06
16.26,0.05588,1.144,722500,-88.81,2.251e-05
10.01,0.04887,1.187,637400,-138.2,1.57e-05
17.98,0.1024,1.09,545400,-82.89,3.297e-05
16.8,0.06361,0.9476,147600,-86.19,0.0001138
12.32,0.25,1.286,2670000,-79.16,4.614e-06
19.29,0.2683,1.106,766800,-78.72,2.516e-05
15.61,0.05418,1.091,437500,-142.2,3.568e-05
56.95,0.06998,0.9815,737000,-90.2,7.727e-05
13.5,0.5779,1.131,702600,-76.59,1.921e-05
13.3,0.1045,1.149,715900,-84.34,1.858e-05
17.13,0.1334,1.045,344200,-81.97,4.977e-05
13.06,0.1299,1.227,1433000,-82.45,9.114e-06
10.6,0.05435,1.381,4844000,-100.2,2.188e-06
20.92,0.05356,1.123,912900,-85.22,2.292e-05
14.27,0.06539,1.116,516700,-91.22,2.762e-05
21.02,0.04511,0.9797,225500,-165.2,9.322e-05
17.33,0.05739,1.074,448600,-108.7,3.863e-05
13.04,0.03961,1.234,1440000,-117.3,9.056e-06
11.84,0.04466,1.095,333800,-144.8,3.547e-05
17.02,0.05369,1.14,767500,-145.5,2.218e-05
19.53,0.05087,1.093,605400,-95.76,3.226e-05
16.06,0.1718,1.021,272100,-80.23,5.902e-05
14.16,0.051,1.049,284600,-103.9,4.975e-05
15.38,0.9971,1.156,943800,-81.21,1.63e-05
17.15,0.2558,1.121,718600,-80.84,2.387e-05
10.16,0.05077,1.132,426200,-90.56,2.384e-05
14.4,0.05639,1.103,566300,-86.31,2.543e-05
14.35,0.05418,1.181,931400,-161.1,1.541e-05
20.75,0.9998,1.115,1009000,-79.52,2.056e-05
24.05,0.1055,0.9829,268700,-88.03,8.951e-05
14.13,0.08202,1.143,673300,-84.24,2.099e-05
10.17,0.05508,1.32,2462000,-84.45,4.131e-06
17.32,0.05044,1.073,429300,-89.92,4.034e-05
18.21,0.05446,1.177,1275000,-87.27,1.428e-05
14.26,0.05418,1.146,639000,-143.8,2.232e-05
35.51,0.4543,0.9399,310900,-79.86,0.0001142
11.45,0.1614,1.323,3388000,-81.61,3.38e-06
23.05,0.08706,0.9623,221700,-83.2,0.000104
13.59,0.05299,1.189,996700,-95.15,1.363e-05
17,0.1325,1.202,1719000,-85.63,9.889e-06
17.14,0.05643,1.108,641800,-157.7,2.671e-05
8.85,0.0435,1.24,935100,-162.2,9.464e-06
18.83,0.2887,1.017,311600,-82.34,6.043e-05
14.58,0.111,1.217,1525000,-83.23,9.561e-06
14.3,0.05186,1.201,1181000,-94.28,1.211e-05
13.52,0.05392,1.262,1950000,-95.88,6.933e-06
18.47,0.05287,1.203,1797000,-87.39,1.028e-05
17.54,0.063,1.108,579900,-140.8,3.025e-05
13.53,0.07773,1.225,1440000,-86.31,9.396e-06
10.92,0.04595,1.253,1500000,-156,7.28e-06
16.71,0.08697,1.104,585600,-83.14,2.853e-05
19.81,0.04657,1.065,431500,-82.04,4.591e-05
24.76,0.1716,0.9996,381700,-82.67,6.487e-05
11.98,0.09475,1.202,968700,-82.92,1.237e-05
13.38,0.06939,1.197,1088000,-88.11,1.23e-05
12.84,0.05182,1.239,1649000,-94.12,7.787e-06
23.27,0.05631,1.022,405800,-86.46,5.734e-05
12.58,0.1042,1.299,3078000,-83.67,4.087e-06
15.35,0.108,1.045,308300,-82.58,4.979e-05
